,c1_rank,c2_rank,c3_rank,c4_rank,c5_rank,c1_suit,c2_suit,c3_suit,c4_suit,c5_suit,class,s_pos,s_rank,s_suit,s_class,outcome
29,13,13,14,8,3,2,3,4,2,2,8,5,8,1,7,0
30,10,10,11,7,4,1,4,1,3,4,8,4,7,4,8,1
31,3,3,7,6,2,3,4,2,3,2,8,2,2,4,7,0
32,9,9,14,11,8,2,3,2,1,3,8,4,14,3,8,0
33,11,11,13,7,5,2,3,1,3,3,8,4,5,4,8,0
34,12,9,7,6,3,4,4,1,4,2,9,2,4,4,9,1
35,8,8,6,6,14,4,1,1,2,1,7,5,4,1,7,1
36,8,8,12,9,4,2,4,2,2,4,8,3,8,1,8,0
37,13,13,14,3,2,2,1,1,2,1,8,5,8,3,9,1
38,12,10,7,3,2,4,3,2,3,2,9,5,7,1,8,0
39,6,6,9,5,4,4,3,3,1,1,8,5,14,3,8,0
40,14,14,4,4,10,4,3,4,2,1,7,5,3,4,8,1
41,12,12,13,10,7,3,1,2,2,3,8,2,5,4,8,1
42,3,3,10,5,2,3,2,3,1,3,8,5,14,1,8,0
43,13,11,8,6,4,3,2,2,3,1,9,2,6,2,8,0
44,14,13,10,9,8,1,4,3,4,1,9,5,6,4,9,1
45,4,4,12,11,7,1,3,2,3,4,8,1,4,4,6,0
46,13,12,6,3,2,3,1,1,4,1,9,5,14,2,9,0
47,12,9,8,7,5,3,2,3,2,4,9,1,5,2,8,0
48,10,10,13,5,4,1,2,1,2,4,8,3,11,1,9,1
49,3,3,3,12,8,4,2,3,1,2,6,5,12,4,3,0
50,14,14,14,9,8,4,2,1,2,4,6,4,6,1,8,1
51,6,5,4,3,2,4,1,2,1,4,5,0,10,3,5,0
52,11,11,9,6,4,2,3,2,4,3,8,4,4,2,7,0
53,14,10,6,3,2,2,1,3,1,1,9,4,2,3,8,0
54,7,7,13,6,5,4,3,4,1,4,8,5,5,3,8,1
55,13,13,10,5,4,3,1,3,2,4,8,5,14,1,8,0
56,12,7,6,5,3,3,4,4,2,3,9,5,14,2,9,0
57,13,12,9,8,7,3,4,1,3,2,9,2,8,1,8,0
58,14,8,7,6,4,3,2,3,3,1,9,3,13,1,9,1
59,9,9,12,11,10,2,4,1,4,2,8,4,11,2,8,0
60,8,8,14,13,10,1,2,4,3,4,8,5,2,4,9,1
61,12,12,7,7,6,1,3,4,3,4,7,5,10,2,8,1
62,4,4,14,6,3,1,2,3,3,3,8,4,11,4,9,1
63,13,9,7,4,2,4,4,1,4,1,9,3,13,1,8,0
64,14,13,10,7,3,1,3,4,2,1,9,4,8,3,9,0
65,12,11,10,5,4,2,3,3,4,3,9,2,10,1,8,0
66,9,9,14,13,4,4,1,4,1,2,8,2,9,3,6,0
67,11,9,6,5,2,1,2,1,1,3,9,5,3,3,9,0
68,2,2,13,10,4,4,2,2,3,3,8,3,7,4,8,1
69,11,8,6,3,2,3,4,3,4,1,9,1,6,4,9,0
70,14,10,9,8,5,2,4,2,3,1,9,4,6,1,9,0
71,3,3,12,11,2,2,1,1,1,3,8,3,3,3,6,0
72,4,4,9,7,5,1,2,3,3,3,8,3,14,1,8,0
73,6,6,2,2,10,4,1,4,1,1,7,5,7,2,8,1
74,10,10,12,8,3,4,3,1,2,1,8,3,13,3,8,0
75,13,12,11,3,2,4,3,2,2,3,9,3,13,2,8,0
76,13,13,12,12,10,3,2,3,2,2,7,5,8,4,8,1
77,14,14,11,10,5,3,2,4,3,3,8,5,12,4,9,1
78,13,9,8,5,2,1,1,2,4,1,9,2,11,3,9,0
79,14,13,6,5,4,4,4,1,1,2,9,4,4,1,8,0
80,11,10,9,3,2,4,1,2,1,1,9,2,14,2,9,0
81,12,10,7,3,2,2,4,2,3,3,9,3,2,2,8,0
82,14,12,11,9,4,1,4,3,4,1,9,1,5,3,9,1
83,3,3,13,9,5,2,4,1,1,4,8,4,8,3,8,1
84,10,9,8,7,2,1,3,4,2,2,9,5,7,1,8,0
85,13,11,10,8,6,4,4,3,1,1,9,4,6,2,8,0
86,3,3,13,5,2,2,3,2,1,4,8,4,12,2,8,0
87,4,4,11,10,6,1,4,2,2,3,8,3,14,3,8,0
88,12,12,6,5,2,1,4,1,4,1,8,4,11,2,9,1
89,12,8,6,5,2,2,2,2,3,4,9,5,8,4,8,0
90,11,10,9,3,2,1,1,4,3,3,9,2,9,1,8,0
91,14,11,10,6,3,2,4,3,3,2,9,3,13,2,9,1
92,12,11,10,9,8,3,3,2,4,3,5,0,5,3,5,0
93,14,13,8,7,2,1,1,1,3,2,9,2,12,2,9,1
94,14,8,6,5,2,3,4,4,4,3,9,1,12,1,9,1
95,3,3,14,10,9,2,3,4,3,1,8,5,11,2,9,1
96,10,9,4,3,2,3,4,1,2,2,9,5,4,4,8,0
97,13,11,7,4,3,4,3,1,3,1,9,5,2,1,9,1
98,13,12,7,5,3,3,1,3,3,3,9,4,8,4,9,1
99,13,11,10,8,7,1,1,4,3,2,9,3,5,4,9,1
100,8,8,11,6,4,3,4,4,2,3,8,3,10,2,9,1
101,11,9,6,5,4,3,1,3,1,4,9,1,8,2,9,0
102,13,13,5,5,4,3,2,4,3,2,7,5,3,1,7,1
103,14,14,13,12,8,1,2,1,2,1,8,5,6,1,8,1
104,14,10,6,5,3,1,3,3,2,2,9,4,12,2,9,0
105,9,9,13,8,7,2,4,3,4,2,8,3,6,4,9,1
106,12,11,10,4,2,1,2,1,2,3,9,3,11,1,8,0
107,12,8,4,3,2,3,2,1,4,1,9,4,2,2,9,0
108,9,8,6,5,2,2,1,4,2,4,9,2,3,4,9,0
109,13,12,10,9,2,1,1,1,1,3,9,2,12,2,9,0
110,11,11,10,7,6,4,3,2,4,3,8,1,2,1,9,1
111,13,7,6,5,2,3,2,1,3,2,9,4,4,4,9,1
112,14,11,9,5,4,4,3,1,1,4,9,4,8,3,9,1
113,13,13,12,9,4,4,1,1,3,1,8,2,12,2,8,0
114,14,10,9,7,6,3,3,4,1,2,9,3,11,2,9,1
115,13,11,6,3,2,3,1,3,4,2,9,4,5,2,9,0
116,14,13,8,4,3,1,1,4,3,3,9,5,8,3,9,0
117,14,13,11,9,6,3,2,4,2,4,9,2,12,3,9,0
118,2,2,8,6,4,1,4,1,1,1,8,3,11,3,8,0
119,11,9,7,5,3,1,1,3,1,4,9,3,10,2,9,0
120,11,11,6,5,2,4,1,4,3,2,8,3,5,1,7,0
121,12,10,9,7,6,2,4,2,4,2,9,1,9,1,8,0
122,14,8,7,5,3,2,3,1,2,4,9,4,2,3,9,1
123,13,12,6,5,3,4,4,3,4,2,9,3,8,2,9,0
124,14,13,11,10,2,1,1,3,1,1,9,4,10,2,8,0
125,6,6,9,4,3,3,4,1,1,1,8,4,4,4,7,0
126,5,5,14,8,6,4,2,2,3,2,8,1,13,3,9,1
127,7,7,12,9,3,4,1,1,2,2,8,2,5,3,9,1
128,13,10,9,4,3,4,4,3,1,3,9,4,11,1,9,0
129,14,8,7,5,3,2,4,2,1,2,9,5,8,3,8,0
130,14,13,11,9,8,3,1,2,2,1,9,2,9,4,9,0
131,2,2,14,9,5,2,1,4,1,4,8,5,12,1,8,1
132,8,7,6,3,2,3,3,2,2,2,9,4,4,2,9,1
133,13,12,11,5,4,4,3,3,4,4,9,1,10,4,9,0
134,3,3,14,11,5,1,3,3,1,2,8,3,6,1,8,1
135,7,7,13,6,3,1,4,1,4,4,8,4,10,2,9,1
136,14,10,8,6,3,3,2,1,2,2,9,5,13,1,9,0
137,11,9,7,5,2,2,2,1,3,3,9,2,7,3,8,0
138,14,12,5,3,2,1,3,2,1,4,9,3,9,1,9,0
139,4,4,12,10,6,3,1,2,4,3,8,3,9,4,9,1
140,10,8,6,4,2,2,1,1,1,2,9,3,14,3,9,0
141,13,11,9,4,3,1,1,2,4,1,9,1,11,2,8,0
142,10,10,11,8,5,4,3,3,4,4,8,4,14,2,8,0
143,14,13,12,4,2,4,2,4,3,4,9,3,5,3,9,1
144,9,8,7,5,2,1,3,4,4,1,9,4,2,4,8,0
145,14,13,10,9,3,3,4,1,2,1,9,3,11,3,9,1
146,9,8,5,4,2,3,2,1,2,3,9,5,3,4,9,0
147,13,12,5,4,3,3,2,2,1,2,9,1,11,1,9,0
148,7,7,2,2,14,4,1,2,4,1,7,5,5,4,8,1
149,13,13,10,8,7,1,2,4,2,2,8,3,4,2,8,1
150,14,12,9,7,4,4,2,2,3,4,9,1,8,4,9,1
151,11,10,5,3,2,1,3,3,1,1,9,5,3,3,8,0
152,14,10,9,6,4,1,1,4,2,2,9,2,12,4,9,0
153,9,9,13,5,2,1,3,3,4,2,8,5,4,1,8,1
154,7,7,7,6,4,1,3,4,3,4,6,5,11,1,8,1
155,14,13,12,5,3,3,1,1,1,2,9,5,3,4,8,0
156,11,10,8,6,4,1,1,1,1,2,9,4,12,2,9,0
157,13,8,5,3,2,4,4,1,1,3,9,2,14,4,9,0
158,13,12,11,10,9,2,3,4,3,2,5,0,6,3,5,0
159,14,8,7,5,4,3,3,4,3,4,9,5,13,1,9,1
160,11,11,14,10,5,2,1,4,2,4,8,4,7,1,8,1
161,4,4,8,3,2,3,4,3,3,4,8,5,6,1,9,1
162,12,12,5,5,2,1,2,3,1,1,7,5,3,1,8,1
163,13,13,12,10,4,4,3,3,3,2,8,5,9,3,8,0
164,12,11,9,8,3,2,1,1,1,4,9,4,4,2,9,1
165,14,14,13,10,6,2,3,2,2,3,8,3,5,2,9,1
166,14,13,10,7,2,4,3,1,2,4,9,5,12,4,9,0
167,13,12,10,6,2,1,3,4,1,1,9,5,3,2,9,1
168,12,11,10,8,6,4,4,4,3,4,9,5,7,2,9,1
169,2,2,10,7,3,1,3,3,1,1,8,3,5,2,9,1
170,12,12,14,8,6,3,2,4,4,1,8,3,14,2,7,0
171,7,7,9,6,5,4,3,4,3,1,8,3,10,1,9,1
172,12,12,13,9,5,1,3,3,4,4,8,1,5,1,7,0
173,6,6,8,7,3,2,3,3,3,3,8,5,4,2,9,1
174,11,11,9,7,6,1,4,3,4,4,8,4,3,2,8,1
175,14,13,10,7,2,1,1,2,1,4,9,4,2,2,8,0
176,14,14,13,5,3,3,2,3,2,1,8,3,2,1,9,1
177,12,10,8,6,2,4,2,4,4,2,9,1,8,1,9,0
178,9,9,10,7,4,2,4,3,2,1,8,4,14,1,9,1
179,7,7,6,3,2,4,3,2,4,4,8,4,6,1,8,1
180,14,12,11,10,5,3,3,3,4,2,9,3,14,2,8,0
181,12,12,14,7,2,2,1,4,2,4,8,3,11,1,9,1
182,6,6,9,8,7,2,3,2,2,1,8,5,4,4,8,1
183,13,13,10,10,7,1,2,2,1,3,7,5,7,4,7,1
184,12,11,10,7,5,3,1,3,4,2,9,5,12,4,8,0
185,13,13,5,5,10,4,1,4,3,2,7,5,3,3,8,1
186,13,10,6,4,2,2,4,3,4,1,9,4,12,2,9,0
187,14,11,8,7,6,1,4,3,2,4,9,4,11,3,9,0
188,13,12,11,10,6,4,4,3,3,4,9,3,14,1,9,0
189,13,11,9,7,2,1,2,1,2,4,9,2,4,3,9,1
190,12,11,6,5,2,3,1,3,2,2,9,4,5,1,8,0
191,14,13,10,6,4,2,2,2,1,2,9,5,12,1,9,0
192,5,5,14,6,2,3,2,1,1,2,8,3,11,3,8,0
193,12,12,10,8,3,3,1,1,1,2,8,5,2,1,9,1
194,14,8,7,3,2,2,4,2,1,4,9,5,10,3,9,0
195,14,9,7,6,2,4,2,3,3,3,9,3,6,4,8,0
196,3,3,13,10,2,2,1,1,4,1,8,5,12,2,9,1
197,8,8,13,11,2,4,2,4,3,4,8,4,12,4,9,1
198,10,7,6,5,4,3,1,4,1,3,9,5,4,4,8,0
199,9,9,11,5,2,4,1,1,2,2,8,5,9,2,8,0
200,14,10,8,5,3,4,2,1,4,3,9,5,9,2,9,0
201,14,12,6,4,2,2,3,4,4,2,9,5,6,3,8,0
202,14,13,12,11,4,3,3,4,2,3,9,4,5,2,9,1
203,3,3,9,7,2,4,1,3,4,3,8,5,5,1,9,1
204,11,10,9,8,3,2,2,2,3,1,9,3,3,2,8,0
205,8,8,7,3,2,4,2,4,3,1,8,5,13,1,8,0
206,9,9,12,7,6,3,4,1,3,1,8,3,12,2,7,0
207,4,4,7,6,2,2,3,1,2,2,8,4,5,3,8,0
208,12,9,7,4,2,2,2,4,1,3,9,1,14,4,9,0
209,12,8,7,5,2,3,2,1,2,2,9,4,6,1,9,1
210,14,12,10,7,6,3,1,4,2,2,9,4,4,2,9,1
211,3,3,9,6,4,3,4,3,3,3,8,4,13,2,8,0
212,14,12,8,4,3,1,2,2,2,3,9,5,4,1,8,0
213,14,14,13,11,9,2,4,2,4,3,8,3,8,1,8,1
214,6,6,13,11,7,4,1,4,2,2,8,4,5,4,8,1
215,8,8,12,5,3,3,4,3,3,4,8,4,11,3,9,1
216,11,11,13,6,3,3,4,4,4,4,8,4,9,2,9,1
217,14,11,9,8,5,1,1,4,4,3,9,5,3,3,9,1
218,9,9,14,13,4,3,1,4,1,3,8,5,10,2,9,1
219,13,13,7,6,3,3,2,2,1,2,8,5,10,3,8,0
220,4,4,9,8,7,2,3,4,4,2,8,5,9,2,8,0
221,13,13,12,11,6,1,3,4,1,1,8,5,13,2,6,0
222,10,8,7,6,2,1,1,1,3,1,9,5,13,4,9,0
223,10,10,6,5,3,2,3,2,3,2,8,1,8,3,9,1
224,10,6,5,3,2,2,2,3,4,1,9,2,3,2,8,0
225,13,13,12,7,3,4,2,2,4,1,8,4,14,4,8,0
226,4,4,4,8,7,1,3,2,4,3,6,4,5,2,8,1
227,14,13,12,7,5,1,3,4,1,1,9,3,3,3,9,1
228,5,5,11,8,4,4,1,4,2,1,8,5,6,2,9,1
229,10,10,14,13,3,3,1,4,4,1,8,3,11,1,8,1
230,3,3,11,7,4,3,4,2,4,4,8,5,13,3,8,0
231,10,9,7,3,2,4,4,2,2,3,9,5,12,3,9,0
232,12,9,7,6,3,3,4,1,3,1,9,5,14,2,9,0
233,14,11,6,4,3,1,2,2,4,2,9,5,8,4,9,1
234,13,5,4,3,2,1,2,2,3,3,9,4,2,1,8,0
235,14,11,8,7,5,3,3,3,4,1,9,1,10,2,9,1
236,13,6,5,4,2,4,2,2,4,4,9,1,6,3,8,0
237,3,3,13,12,2,2,4,2,4,3,8,3,3,3,8,0
238,11,9,8,4,2,2,3,1,2,2,9,2,14,2,9,0
239,9,9,13,7,3,2,1,3,1,1,8,3,10,2,9,1
240,13,12,11,7,3,2,2,1,3,1,9,1,6,1,9,1
241,4,4,14,10,5,4,2,2,4,3,8,5,9,4,9,1
242,13,12,9,7,4,4,1,1,4,1,9,3,5,4,9,1
243,13,10,8,7,5,3,3,1,2,2,9,1,11,2,9,0
244,14,7,5,4,3,2,2,1,1,3,9,2,5,4,8,0
245,11,10,9,6,2,2,3,1,3,3,9,4,8,4,9,1
246,14,13,10,5,2,1,2,1,2,4,9,5,6,2,9,0
247,14,9,5,4,3,3,4,3,2,1,9,2,6,4,9,0
248,14,8,7,5,4,3,1,1,4,3,9,3,4,1,8,0
249,13,12,11,8,4,4,1,4,3,4,9,2,12,3,8,0
250,6,6,11,9,2,2,3,1,2,3,8,3,14,1,9,1
251,9,9,11,7,4,3,4,3,2,2,8,3,2,4,9,1
252,14,12,7,6,5,2,3,4,3,2,9,2,4,2,9,1
253,14,13,11,10,6,1,4,3,2,1,9,4,11,2,8,0
254,10,7,5,3,2,4,2,4,4,4,9,5,8,4,9,0
255,9,9,14,12,8,4,2,3,2,3,8,5,12,4,7,0
256,6,6,11,10,8,3,4,1,2,4,8,3,12,2,9,1
257,12,12,9,5,3,3,1,4,4,1,8,4,6,1,9,1
258,10,9,8,6,2,3,1,2,2,2,9,5,14,2,9,0
259,10,9,8,7,2,4,2,3,2,3,9,5,7,1,8,0
260,11,9,8,7,4,2,4,4,4,4,9,5,7,3,8,0
261,6,6,13,11,7,1,4,4,3,2,8,3,11,4,8,0
262,14,13,12,8,4,3,2,3,2,2,9,1,5,4,9,1
263,5,5,11,3,2,3,1,1,4,3,8,5,14,4,8,0
264,14,14,14,11,2,3,2,4,4,2,6,4,8,4,6,0
265,7,7,11,6,3,2,4,1,1,3,8,4,2,1,9,1
266,14,10,6,5,2,1,3,4,4,3,9,5,13,2,9,1
267,10,10,12,11,5,2,1,4,2,1,8,3,7,1,8,1
268,2,2,14,7,3,2,1,4,3,4,8,5,12,4,8,0
269,9,9,8,6,4,3,2,3,4,2,8,3,11,4,8,0
270,5,5,12,10,9,4,1,2,2,1,8,3,12,1,8,0
271,2,2,10,7,6,3,4,3,1,2,8,3,4,4,8,1
272,8,8,14,10,3,1,4,4,1,2,8,5,11,1,9,1
273,14,10,8,7,2,2,2,3,3,1,9,1,4,4,9,1
274,7,7,9,4,2,4,1,3,2,2,8,4,13,1,9,1
275,9,9,9,14,4,1,2,4,1,3,6,4,13,3,6,0
276,14,6,5,4,2,1,3,1,1,1,9,2,5,4,9,0
277,12,12,11,7,6,4,3,4,3,4,8,4,9,2,8,0
278,12,12,14,4,2,2,1,3,3,2,8,4,3,4,9,1
279,14,13,9,7,3,2,1,4,1,2,9,3,2,3,9,1
280,13,12,11,10,6,1,3,1,3,1,9,5,5,2,9,1
281,14,10,6,5,4,3,1,4,1,4,9,2,10,4,8,0
282,7,7,13,11,9,2,4,2,3,3,8,5,4,3,9,1
283,13,12,9,8,6,3,4,1,2,2,9,5,8,1,8,0
284,10,9,7,4,3,2,2,4,4,4,9,4,5,1,9,1
285,12,10,9,3,2,3,1,1,1,1,9,4,10,3,8,0
286,14,14,13,12,10,2,1,1,2,4,8,3,2,4,9,1
287,13,9,8,7,4,4,3,4,3,1,9,2,11,1,9,0
288,9,9,11,8,3,2,1,1,1,3,8,4,10,2,8,0
289,13,11,10,5,3,3,2,1,1,4,9,4,7,2,9,1
290,14,14,12,12,8,4,1,1,4,4,7,5,5,4,8,1
291,14,11,9,7,4,2,3,4,4,2,9,3,7,3,8,0
292,10,10,13,12,2,3,1,3,4,2,8,4,9,1,9,1
293,14,10,7,3,2,2,4,3,4,4,9,3,2,3,8,0
294,8,8,7,5,4,4,3,1,4,1,8,3,6,4,5,0
295,14,9,8,5,2,4,4,2,3,1,9,1,7,2,9,0
296,10,10,11,6,3,1,2,3,4,3,8,4,6,2,7,0
297,5,5,4,4,8,2,3,4,3,3,7,5,7,1,8,1
298,14,14,9,8,7,3,2,1,4,2,8,1,6,1,9,1
299,13,12,7,3,2,3,4,4,4,3,9,5,13,2,8,0
300,14,10,5,4,2,3,1,4,1,1,9,2,8,3,9,0
301,13,12,10,9,2,4,1,2,1,2,9,4,7,2,9,1
302,14,8,7,6,2,2,1,1,3,3,9,3,3,2,9,1
303,13,11,8,5,3,2,1,2,3,4,9,2,14,4,9,0
304,12,11,8,7,6,3,3,1,3,3,9,5,10,4,9,1
305,14,13,9,8,5,2,2,3,2,4,9,3,4,4,9,1
306,10,9,7,4,3,3,4,1,2,1,9,5,9,1,8,0
307,11,11,9,7,2,2,4,2,2,4,8,3,5,2,8,1
308,12,11,10,7,6,3,4,2,4,1,9,1,6,3,8,0
309,13,9,8,7,3,1,4,4,1,2,9,2,9,1,8,0
310,7,7,11,5,2,3,2,3,3,3,8,5,14,3,8,0
311,11,10,5,4,2,1,1,4,1,4,9,2,8,2,9,0
312,4,4,11,9,6,1,3,3,4,2,8,5,11,2,7,0
313,2,2,2,14,7,2,4,1,3,1,6,4,5,3,6,1
314,11,11,12,10,5,4,1,2,4,2,8,5,7,4,8,0
315,9,9,10,3,2,2,3,1,4,3,8,3,14,1,8,0
316,14,8,6,3,2,1,2,2,2,2,9,3,11,3,9,0
317,13,12,9,5,3,1,4,2,2,4,9,4,7,2,9,1
318,14,12,6,4,2,3,1,3,3,3,9,4,3,1,9,0
319,2,2,14,5,4,1,4,4,1,2,8,3,10,2,8,1
320,14,10,7,3,2,1,3,4,1,2,9,5,12,2,9,0
321,9,9,6,5,2,1,3,2,1,4,8,4,13,1,8,0
322,10,8,7,4,3,1,4,3,4,2,9,4,14,2,9,0
323,6,6,10,8,4,3,4,4,1,1,8,3,3,3,8,1
324,12,11,8,7,3,2,2,3,2,2,9,2,11,4,8,0
325,13,10,9,8,7,1,1,1,2,3,9,2,4,2,9,1
326,11,10,8,3,2,1,3,4,3,2,9,1,8,1,9,0
327,12,11,10,4,2,4,3,2,3,4,9,5,5,4,9,0
328,14,13,8,7,2,3,1,1,1,1,9,4,6,2,9,1
329,11,11,13,12,4,3,1,3,2,3,8,3,9,2,8,1
330,3,3,12,7,2,4,2,3,2,4,8,1,2,3,8,0
331,14,9,7,4,3,1,1,4,2,3,9,1,13,2,9,0
332,14,14,12,9,6,1,3,4,1,1,8,4,5,2,8,1
333,14,11,10,9,5,2,2,4,4,1,9,5,4,3,9,1
334,12,7,4,3,2,2,2,1,2,3,9,2,10,2,9,0
335,12,11,7,4,3,3,1,4,2,3,9,3,9,3,9,1
336,13,9,8,6,4,2,1,1,1,4,9,2,2,1,9,1
337,14,14,12,11,2,4,1,4,4,2,8,3,7,1,9,1
338,10,10,13,12,9,1,2,3,1,4,8,4,7,2,8,1
339,7,7,11,4,2,3,4,1,3,3,8,5,8,4,8,0
340,9,9,13,10,5,3,1,4,4,2,8,4,13,3,7,0
341,7,7,10,6,5,4,3,2,4,1,8,5,10,3,8,0
342,14,14,12,12,6,4,2,3,2,3,7,5,4,1,8,1
343,12,8,5,4,2,4,4,4,2,3,9,1,2,4,8,0
344,11,10,9,6,2,2,4,2,3,1,9,1,7,3,9,1
345,2,2,13,9,5,4,2,2,3,2,8,3,13,1,8,0
346,12,11,5,4,3,3,3,1,4,1,9,5,11,4,8,0
347,6,6,11,7,5,2,4,1,1,3,8,2,8,2,9,1
348,5,5,11,6,4,1,2,1,4,3,8,3,4,1,8,1
349,14,14,13,9,5,3,4,3,3,3,8,5,6,1,8,0
350,10,8,6,3,2,3,1,3,3,3,9,4,9,2,9,1
351,12,12,11,8,2,1,4,4,4,2,8,3,13,4,9,1
352,12,11,8,3,2,2,2,4,1,2,9,2,9,4,9,0
353,10,7,6,4,2,3,4,2,3,1,9,2,10,2,8,0
354,10,9,7,5,2,1,3,3,2,4,9,5,3,4,9,1
355,14,14,12,8,4,1,2,1,1,1,8,3,7,2,8,1
356,13,11,6,4,2,2,1,4,1,4,9,3,4,2,9,0
357,12,11,5,3,2,1,4,3,3,3,9,3,10,1,9,0
358,13,10,9,6,2,3,4,2,1,1,9,4,4,3,9,1
359,7,7,14,13,8,4,1,2,1,4,8,4,8,3,8,0
360,11,11,12,6,3,4,2,4,2,2,8,3,8,4,8,1
361,11,11,13,8,2,3,1,3,3,4,8,4,5,1,9,1
362,10,10,14,9,6,3,4,1,3,4,8,1,6,3,8,1
363,12,12,14,13,7,1,3,3,4,4,8,3,7,2,8,1
364,12,12,10,8,4,1,3,3,4,2,8,3,9,2,9,1
365,6,6,8,7,5,3,4,2,4,3,8,3,5,2,7,0
366,14,14,13,8,2,4,2,3,3,4,8,4,7,1,9,1
367,12,11,7,3,2,4,1,3,1,1,9,4,13,4,9,0
368,14,14,11,10,3,2,3,4,4,4,8,5,2,3,9,1
369,14,13,6,4,3,4,3,3,4,1,9,3,4,3,8,0
370,12,12,11,7,6,2,3,2,1,1,8,5,8,2,9,1
371,7,7,14,13,5,3,4,1,1,3,8,4,2,2,8,1
372,13,13,12,7,3,1,2,4,4,4,8,4,11,2,8,0
373,4,4,6,5,2,3,4,3,2,2,8,5,6,1,7,0
374,14,11,9,8,5,2,4,1,4,4,9,5,10,2,9,0
375,14,11,9,6,3,1,1,4,2,1,9,1,9,3,8,0
376,8,8,9,7,5,1,3,1,3,2,8,3,9,3,8,0
377,10,10,11,7,3,3,2,4,1,1,8,3,12,4,9,1
378,12,12,14,13,8,2,1,3,2,4,8,4,14,4,8,0
379,13,11,10,4,3,3,1,4,2,2,9,5,6,4,9,1
380,12,9,6,4,2,2,2,3,1,3,9,4,8,4,9,1
381,10,10,6,6,9,4,3,1,4,3,7,5,10,2,3,0
382,13,11,9,6,5,1,2,1,2,2,9,3,4,4,9,1
383,14,13,5,4,3,2,3,1,3,1,9,3,8,1,9,1
384,3,3,14,8,2,1,2,1,2,1,8,5,10,4,9,1
385,13,13,10,9,5,4,2,3,4,4,8,3,10,2,8,1
386,14,8,7,4,2,3,4,4,4,3,9,4,4,3,8,0
387,13,11,8,7,6,3,3,1,3,2,9,5,3,3,9,1
388,14,9,8,6,3,2,2,4,3,2,9,5,14,4,8,0
389,13,11,5,4,3,1,2,1,4,3,9,3,6,4,9,0
390,10,8,7,4,2,2,3,1,3,2,9,3,4,2,8,0
391,2,2,12,11,5,4,1,4,3,3,8,2,10,4,8,1
392,12,7,6,4,3,3,2,4,3,4,9,3,6,1,8,0
393,13,12,11,9,8,1,2,4,3,2,9,5,6,2,9,1
394,13,8,7,4,3,4,3,3,1,1,9,5,10,2,9,0
395,13,12,10,9,3,3,4,4,2,2,9,3,2,2,9,1
396,14,13,7,4,3,2,4,3,2,3,9,3,3,2,8,0
397,10,9,7,5,2,2,3,2,3,2,9,5,10,1,8,0
398,12,9,5,3,2,4,4,2,4,4,9,5,9,2,8,0
399,10,10,13,12,11,3,4,3,3,4,8,3,12,2,8,0
400,14,13,11,10,6,4,3,4,3,4,9,4,9,1,9,1
401,12,9,8,3,2,1,3,4,4,4,9,2,11,1,9,0
402,10,8,7,4,2,1,2,2,2,1,9,3,8,1,8,0
403,12,11,6,4,3,3,2,1,4,2,9,4,5,2,9,1
404,6,6,14,12,2,3,2,2,4,3,8,4,8,4,8,1
405,5,5,14,11,9,3,2,4,4,2,8,3,12,1,8,1
